様式 4-1. (給湯)給湯対象室入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
①,①,①,①,①,②,③,④,,,,
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,給湯箇所,節湯器具,給湯機器名称,,,,
,,,,,（給湯栓設置箇所）,,,,,,
,,,,[㎡],,,,,,,
(転記),(転記),(転記),(転記),(転記),,(選択),(選択),,,,
,,,,,,,,,,,
,,,,,,有,EHW-1-12b,,,,
,,,,,,有,EHW-2-12a,,,,
12F,院生用共同研究室1205,学校等,研究室,25,,有,EHW-1-12a,,,,
,,,,,,有,EHW-1-12b,,,,
,,,,,,有,EHW-2-12a,,,,
12F,院生用共同研究室1206,学校等,研究室,25,,有,EHW-1-12a,,,,
,,,,,,有,EHW-1-12b,,,,
,,,,,,有,EHW-2-12a,,,,
12F,院生用共同研究室1207,学校等,研究室,25,,有,EHW-1-12a,,,,
,,,,,,有,EHW-1-12b,,,,
,,,,,,有,EHW-2-12a,,,,
12F,院生用共同研究室1208,学校等,研究室,22,,有,EHW-1-12a,,,,
,,,,,,有,EHW-1-12b,,,,
,,,,,,有,EHW-2-12a,,,,
13F,院生共同研究室1301,学校等,研究室,125,,有,EHW-1-13a,,,,
,,,,,,有,EHW-1-13b,,,,
,,,,,,有,EHW-2-13a,,,,
13F,院生用共同研究室1302,学校等,研究室,25,,有,EHW-1-13a,,,,
,,,,,,有,EHW-1-13b,,,,
,,,,,,有,EHW-2-13a,,,,
13F,印刷コピー室1303,学校等,研究室,24,,有,EHW-1-13a,,,,
,,,,,,有,EHW-1-13b,,,,
,,,,,,有,EHW-2-13a,,,,
13F,院生協議会室1304,学校等,研究室,51,,有,EHW-1-13a,,,,
,,,,,,有,EHW-1-13b,,,,
,,,,,,有,EHW-2-13a,,,,
13F,院生用共同研究室1305,学校等,研究室,30,,有,EHW-1-13a,,,,
,,,,,,有,EHW-1-13b,,,,
,,,,,,有,EHW-2-13a,,,,
13F,ディスカッションコーナー3,学校等,事務室,25,,有,EHW-1-13a,,,,
,,,,,,有,EHW-1-13b,,,,
,,,,,,有,EHW-2-13a,,,,
13F,院生用共同研究室1306,学校等,研究室,30,,有,EHW-1-13a,,,,
,,,,,,有,EHW-1-13b,,,,
,,,,,,有,EHW-2-13a,,,,
13F,院生用共同研究室1307,学校等,研究室,25,,有,EHW-1-13a,,,,
,,,,,,有,EHW-1-13b,,,,
,,,,,,有,EHW-2-13a,,,,
13F,院生用共同研究室1308,学校等,研究室,25,,有,EHW-1-13a,,,,
,,,,,,有,EHW-1-13b,,,,
,,,,,,有,EHW-2-13a,,,,
13F,院生用共同研究室1309,学校等,研究室,22,,有,EHW-1-13a,,,,
,,,,,,有,EHW-1-13b,,,,
,,,,,,有,EHW-2-13a,,,,
14F,院生共同研究室1401,学校等,研究室,125,,有,EHW-1-14a,,,,
,,,,,,有,EHW-1-14b,,,,
,,,,,,有,EHW-2-14a,,,,
14F,大学院共同演習室1402,学校等,研究室,50,,有,EHW-1-14a,,,,
,,,,,,有,EHW-1-14b,,,,
,,,,,,有,EHW-2-14a,,,,
14F,院生用共同研究室1403,学校等,研究室,51,,有,EHW-1-14a,,,,
,,,,,,有,EHW-1-14b,,,,
,,,,,,有,EHW-2-14a,,,,
14F,院生用共同研究室1404,学校等,研究室,25,,有,EHW-1-14a,,,,
,,,,,,有,EHW-1-14b,,,,
,,,,,,有,EHW-2-14a,,,,
14F,院生用共同研究室1405,学校等,研究室,25,,有,EHW-1-14a,,,,
,,,,,,有,EHW-1-14b,,,,
,,,,,,有,EHW-2-14a,,,,
14F,院生用共同研究室1406,学校等,研究室,25,,有,EHW-1-14a,,,,
,,,,,,有,EHW-1-14b,,,,
